,Layer,Name,GEOID,UMP_2017-2021,type,INC_2017-2021,UNS_2017-2021,SVI_2020,HCSHCP_2020-2021,HCSNCP_2020-2021
10,Community area,Montclare,18.0,,median household income in community areas,55998.1597388659,,,,
11,Community area,Belmont Cragin,19.0,,median household income in community areas,60868.8207115341,,,,
12,Community area,West Ridge,2.0,,median household income in community areas,61465.8298985407,,,,
13,Community area,Hermosa,20.0,,median household income in community areas,60492.9371004903,,,,
14,Community area,Avondale,21.0,,median household income in community areas,79994.6885730412,,,,
15,Community area,Logan Square,22.0,,median household income in community areas,95764.4840730865,,,,
16,Community area,Humboldt Park,23.0,,median household income in community areas,47907.0540669805,,,,
17,Community area,West Town,24.0,,median household income in community areas,121221.637052242,,,,
18,Community area,Austin,25.0,,median household income in community areas,43790.2613878405,,,,
19,Community area,West Garfield Park,26.0,,median household income in community areas,33929.862468668,,,,
20,Community area,East Garfield Park,27.0,,median household income in community areas,27872.2961010423,,,,
21,Community area,Near West Side,28.0,,median household income in community areas,98452.8203150894,,,,
22,Community area,North Lawndale,29.0,,median household income in community areas,33915.1022644167,,,,
23,Community area,Uptown,3.0,,median household income in community areas,64213.3023210496,,,,
24,Community area,South Lawndale,30.0,,median household income in community areas,40359.4495442491,,,,
25,Community area,Lower West Side,31.0,,median household income in community areas,62962.5347009566,,,,
26,Community area,Loop,32.0,,median household income in community areas,119545.18740625,,,,
27,Community area,Near South Side,33.0,,median household income in community areas,111759.578776138,,,,
28,Community area,Armour Square,34.0,,median household income in community areas,37851.9728927742,,,,
29,Community area,Douglas,35.0,,median household income in community areas,48925.83547291,,,,
30,Community area,Oakland,36.0,,median household income in community areas,30749.1184334665,,,,
31,Community area,Fuller Park,37.0,,median household income in community areas,18315.6397394826,,,,
32,Community area,Grand Boulevard,38.0,,median household income in community areas,43836.9014743217,,,,
33,Community area,Kenwood,39.0,,median household income in community areas,51555.7777355816,,,,
34,Community area,Lincoln Square,4.0,,median household income in community areas,84401.2262570264,,,,
35,Community area,Washington Park,40.0,,median household income in community areas,25189.9437891151,,,,
36,Community area,Hyde Park,41.0,,median household income in community areas,71216.3632561484,,,,
37,Community area,Woodlawn,42.0,,median household income in community areas,33516.9471059749,,,,
38,Community area,South Shore,43.0,,median household income in community areas,36608.3289172712,,,,
39,Community area,Chatham,44.0,,median household income in community areas,41453.6479304282,,,,
40,Community area,Avalon Park,45.0,,median household income in community areas,53070.0857075135,,,,
41,Community area,South Chicago,46.0,,median household income in community areas,41043.4395431671,,,,
42,Community area,Burnside,47.0,,median household income in community areas,45296.009293376,,,,
43,Community area,Calumet Heights,48.0,,median household income in community areas,68117.7035851219,,,,
44,Community area,Roseland,49.0,,median household income in community areas,46307.2722468859,,,,
45,Community area,North Center,5.0,,median household income in community areas,142241.306042457,,,,
46,Community area,Pullman,50.0,,median household income in community areas,55081.1958279608,,,,
47,Community area,South Deering,51.0,,median household income in community areas,37015.6003917535,,,,
48,Community area,East Side,52.0,,median household income in community areas,57742.887796712,,,,
49,Community area,West Pullman,53.0,,median household income in community areas,48287.4471081467,,,,
50,Community area,Riverdale,54.0,,median household income in community areas,19527.8390088707,,,,
51,Community area,Hegewisch,55.0,,median household income in community areas,59340.6811482714,,,,
52,Community area,Garfield Ridge,56.0,,median household income in community areas,84303.172255932,,,,
53,Community area,Archer Heights,57.0,,median household income in community areas,51678.2941499196,,,,
54,Community area,Brighton Park,58.0,,median household income in community areas,47131.9315939676,,,,
55,Community area,McKinley Park,59.0,,median household income in community areas,65000.0583065096,,,,
56,Community area,Lake View,6.0,,median household income in community areas,110224.025811493,,,,
57,Community area,Bridgeport,60.0,,median household income in community areas,69872.1234969528,,,,
58,Community area,New City,61.0,,median household income in community areas,40159.6381936672,,,,
59,Community area,West Elsdon,62.0,,median household income in community areas,56894.3912851826,,,,
60,Community area,Gage Park,63.0,,median household income in community areas,45000.1554742539,,,,
61,Community area,Clearing,64.0,,median household income in community areas,63894.8315166439,,,,
62,Community area,West Lawn,65.0,,median household income in community areas,64686.081105261,,,,
63,Community area,Chicago Lawn,66.0,,median household income in community areas,40214.2097606439,,,,
64,Community area,West Englewood,67.0,,median household income in community areas,28979.1695504818,,,,
65,Community area,Englewood,68.0,,median household income in community areas,25670.6608390665,,,,
66,Community area,Greater Grand Crossing,69.0,,median household income in community areas,34700.9368462343,,,,
67,Community area,Lincoln Park,7.0,,median household income in community areas,151341.878210618,,,,
68,Community area,Ashburn,70.0,,median household income in community areas,72500.7761645324,,,,
69,Community area,Auburn Gresham,71.0,,median household income in community areas,39607.9783737991,,,,
70,Community area,Beverly,72.0,,median household income in community areas,113753.421143429,,,,
71,Community area,Washington Heights,73.0,,median household income in community areas,57781.7432082216,,,,
72,Community area,Mount Greenwood,74.0,,median household income in community areas,108192.508505031,,,,
73,Community area,Morgan Park,75.0,,median household income in community areas,67532.816547815,,,,
74,Community area,O'Hare,76.0,,median household income in community areas,61918.2206085312,,,,
75,Community area,Edgewater,77.0,,median household income in community areas,70026.7511845599,,,,
76,Community area,Near North Side,8.0,,median household income in community areas,117731.25188738,,,,
77,Community area,Edison Park,9.0,,median household income in community areas,113380.718359436,,,,
0,nan,nan,nan,,uninsured rate in community areas,,"Uninsured rate (% of residents), 2017-2021",,,
2,Community area,Norwood Park,10.0,,uninsured rate in community areas,,4.07603859309759,,,
3,Community area,Jefferson Park,11.0,,uninsured rate in community areas,,7.80114311355419,,,
4,Community area,Forest Glen,12.0,,uninsured rate in community areas,,6.84613137370861,,,
5,Community area,North Park,13.0,,uninsured rate in community areas,,9.69852639315237,,,
6,Community area,Albany Park,14.0,,uninsured rate in community areas,,17.1584564016772,,,
7,Community area,Portage Park,15.0,,uninsured rate in community areas,,13.1230296970216,,,
8,Community area,Irving Park,16.0,,uninsured rate in community areas,,10.5921487297554,,,
9,Community area,Dunning,17.0,,uninsured rate in community areas,,10.3224678406261,,,
10,Community area,Montclare,18.0,,uninsured rate in community areas,,8.98201045907206,,,
11,Community area,Belmont Cragin,19.0,,uninsured rate in community areas,,17.2833989906795,,,
12,Community area,West Ridge,2.0,,uninsured rate in community areas,,14.477864435223,,,
13,Community area,Hermosa,20.0,,uninsured rate in community areas,,17.6343493519426,,,
14,Community area,Avondale,21.0,,uninsured rate in community areas,,14.7908735734434,,,
15,Community area,Logan Square,22.0,,uninsured rate in community areas,,7.45166005840926,,,
16,Community area,Humboldt Park,23.0,,uninsured rate in community areas,,14.8906248356451,,,
17,Community area,West Town,24.0,,uninsured rate in community areas,,5.07663888734508,,,
18,Community area,Austin,25.0,,uninsured rate in community areas,,10.9156340651195,,,
19,Community area,West Garfield Park,26.0,,uninsured rate in community areas,,8.9817178395417,,,
20,Community area,East Garfield Park,27.0,,uninsured rate in community areas,,9.74564420359085,,,
21,Community area,Near West Side,28.0,,uninsured rate in community areas,,4.03820071496393,,,
22,Community area,North Lawndale,29.0,,uninsured rate in community areas,,11.6182821372489,,,
23,Community area,Uptown,3.0,,uninsured rate in community areas,,9.6208057440129,,,
24,Community area,South Lawndale,30.0,,uninsured rate in community areas,,20.2645330169711,,,
25,Community area,Lower West Side,31.0,,uninsured rate in community areas,,13.1200757019615,,,
26,Community area,Loop,32.0,,uninsured rate in community areas,,2.83014402706213,,,
27,Community area,Near South Side,33.0,,uninsured rate in community areas,,3.73364990623153,,,
28,Community area,Armour Square,34.0,,uninsured rate in community areas,,8.84097804699684,,,
29,Community area,Douglas,35.0,,uninsured rate in community areas,,7.98459947874697,,,
30,Community area,Oakland,36.0,,uninsured rate in community areas,,8.99140140162144,,,
31,Community area,Fuller Park,37.0,,uninsured rate in community areas,,3.4907780927195,,,
32,Community area,Grand Boulevard,38.0,,uninsured rate in community areas,,6.75537953269251,,,
33,Community area,Kenwood,39.0,,uninsured rate in community areas,,7.40070935856363,,,
34,Community area,Lincoln Square,4.0,,uninsured rate in community areas,,9.10465654494593,,,
35,Community area,Washington Park,40.0,,uninsured rate in community areas,,9.06751695771903,,,
36,Community area,Hyde Park,41.0,,uninsured rate in community areas,,5.20256909301051,,,
37,Community area,Woodlawn,42.0,,uninsured rate in community areas,,9.34549814457908,,,
38,Community area,South Shore,43.0,,uninsured rate in community areas,,7.66967932983196,,,
39,Community area,Chatham,44.0,,uninsured rate in community areas,,10.3336890327565,,,
40,Community area,Avalon Park,45.0,,uninsured rate in community areas,,8.96002392262081,,,
41,Community area,South Chicago,46.0,,uninsured rate in community areas,,9.71512803427964,,,
42,Community area,Burnside,47.0,,uninsured rate in community areas,,18.1135001181013,,,
43,Community area,Calumet Heights,48.0,,uninsured rate in community areas,,5.88556314965423,,,
44,Community area,Roseland,49.0,,uninsured rate in community areas,,9.70640753169591,,,
45,Community area,North Center,5.0,,uninsured rate in community areas,,2.55506304444803,,,
46,Community area,Pullman,50.0,,uninsured rate in community areas,,5.10066884435208,,,
47,Community area,South Deering,51.0,,uninsured rate in community areas,,8.47031239467515,,,
48,Community area,East Side,52.0,,uninsured rate in community areas,,12.4870156144982,,,
49,Community area,West Pullman,53.0,,uninsured rate in community areas,,10.6035901479985,,,
50,Community area,Riverdale,54.0,,uninsured rate in community areas,,8.76212823721274,,,
51,Community area,Hegewisch,55.0,,uninsured rate in community areas,,9.21254167377822,,,
52,Community area,Garfield Ridge,56.0,,uninsured rate in community areas,,8.33521335114391,,,
53,Community area,Archer Heights,57.0,,uninsured rate in community areas,,11.770308474034,,,
54,Community area,Brighton Park,58.0,,uninsured rate in community areas,,16.507163042725,,,
55,Community area,McKinley Park,59.0,,uninsured rate in community areas,,11.631899711096,,,
56,Community area,Lake View,6.0,,uninsured rate in community areas,,3.78538334185177,,,
57,Community area,Bridgeport,60.0,,uninsured rate in community areas,,8.7502336710565,,,
58,Community area,New City,61.0,,uninsured rate in community areas,,19.6012839645287,,,
59,Community area,West Elsdon,62.0,,uninsured rate in community areas,,8.85637269882339,,,
60,Community area,Gage Park,63.0,,uninsured rate in community areas,,15.8046946878208,,,
61,Community area,Clearing,64.0,,uninsured rate in community areas,,7.51256560424904,,,
62,Community area,West Lawn,65.0,,uninsured rate in community areas,,11.7877981544652,,,
63,Community area,Chicago Lawn,66.0,,uninsured rate in community areas,,15.9367969355919,,,
64,Community area,West Englewood,67.0,,uninsured rate in community areas,,11.5054717012617,,,
65,Community area,Englewood,68.0,,uninsured rate in community areas,,12.146408246646,,,
66,Community area,Greater Grand Crossing,69.0,,uninsured rate in community areas,,8.47487362537238,,,
67,Community area,Lincoln Park,7.0,,uninsured rate in community areas,,2.42976948221051,,,
68,Community area,Ashburn,70.0,,uninsured rate in community areas,,11.016904789379,,,
69,Community area,Auburn Gresham,71.0,,uninsured rate in community areas,,7.97883286385306,,,
70,Community area,Beverly,72.0,,uninsured rate in community areas,,2.62652322532811,,,
71,Community area,Washington Heights,73.0,,uninsured rate in community areas,,8.32254070868678,,,
72,Community area,Mount Greenwood,74.0,,uninsured rate in community areas,,2.70961821844431,,,
73,Community area,Morgan Park,75.0,,uninsured rate in community areas,,6.49914578486474,,,
74,Community area,O'Hare,76.0,,uninsured rate in community areas,,16.851130863737,,,
75,Community area,Edgewater,77.0,,uninsured rate in community areas,,8.61961054492148,,,
76,Community area,Near North Side,8.0,,uninsured rate in community areas,,2.23059645775952,,,
77,Community area,Edison Park,9.0,,uninsured rate in community areas,,1.50996251102968,,,
0,nan,nan,nan,,social vulnerability index in community areas,,,"Social Vulnerability Index (percentile), 2020",,
2,Community area,Norwood Park,10.0,,social vulnerability index in community areas,,,40.1804082929201,,
3,Community area,Jefferson Park,11.0,,social vulnerability index in community areas,,,43.8696136862043,,
4,Community area,Forest Glen,12.0,,social vulnerability index in community areas,,,23.7899706276728,,
5,Community area,North Park,13.0,,social vulnerability index in community areas,,,73.4950099032314,,
6,Community area,Albany Park,14.0,,social vulnerability index in community areas,,,75.0709693442758,,
7,Community area,Portage Park,15.0,,social vulnerability index in community areas,,,61.4807880409758,,
8,Community area,Irving Park,16.0,,social vulnerability index in community areas,,,60.2956294457282,,
9,Community area,Dunning,17.0,,social vulnerability index in community areas,,,43.2551414303603,,
10,Community area,Montclare,18.0,,social vulnerability index in community areas,,,83.2406489489006,,
11,Community area,Belmont Cragin,19.0,,social vulnerability index in community areas,,,80.1294129467404,,
12,Community area,West Ridge,2.0,,social vulnerability index in community areas,,,82.3187903429451,,
13,Community area,Hermosa,20.0,,social vulnerability index in community areas,,,79.9718239784984,,
14,Community area,Avondale,21.0,,social vulnerability index in community areas,,,62.3392807380017,,
15,Community area,Logan Square,22.0,,social vulnerability index in community areas,,,40.9227084316682,,
16,Community area,Humboldt Park,23.0,,social vulnerability index in community areas,,,88.1966572089766,,
17,Community area,West Town,24.0,,social vulnerability index in community areas,,,24.9582534878115,,
18,Community area,Austin,25.0,,social vulnerability index in community areas,,,87.0268629183722,,
19,Community area,West Garfield Park,26.0,,social vulnerability index in community areas,,,86.6689022435081,,
20,Community area,East Garfield Park,27.0,,social vulnerability index in community areas,,,86.9647406356756,,
21,Community area,Near West Side,28.0,,social vulnerability index in community areas,,,46.1505363256788,,
22,Community area,North Lawndale,29.0,,social vulnerability index in community areas,,,85.043081245849,,
23,Community area,Uptown,3.0,,social vulnerability index in community areas,,,67.2023098010764,,
24,Community area,South Lawndale,30.0,,social vulnerability index in community areas,,,85.7586004727101,,
25,Community area,Lower West Side,31.0,,social vulnerability index in community areas,,,71.2349750406169,,
26,Community area,Loop,32.0,,social vulnerability index in community areas,,,43.9012271382697,,
27,Community area,Near South Side,33.0,,social vulnerability index in community areas,,,27.0907040805084,,
28,Community area,Armour Square,34.0,,social vulnerability index in community areas,,,87.8047195261759,,
29,Community area,Douglas,35.0,,social vulnerability index in community areas,,,73.9987844939911,,
30,Community area,Oakland,36.0,,social vulnerability index in community areas,,,77.4102058362526,,
31,Community area,Fuller Park,37.0,,social vulnerability index in community areas,,,88.5576676509139,,
32,Community area,Grand Boulevard,38.0,,social vulnerability index in community areas,,,72.7218981239323,,
33,Community area,Kenwood,39.0,,social vulnerability index in community areas,,,69.3654530496374,,
34,Community area,Lincoln Square,4.0,,social vulnerability index in community areas,,,40.7759817353015,,
35,Community area,Washington Park,40.0,,social vulnerability index in community areas,,,87.8207643409896,,
36,Community area,Hyde Park,41.0,,social vulnerability index in community areas,,,51.8774869305338,,
37,Community area,Woodlawn,42.0,,social vulnerability index in community areas,,,81.9363927614556,,
38,Community area,South Shore,43.0,,social vulnerability index in community areas,,,82.6063579973451,,
39,Community area,Chatham,44.0,,social vulnerability index in community areas,,,73.9734413468701,,
40,Community area,Avalon Park,45.0,,social vulnerability index in community areas,,,75.8561225400017,,
41,Community area,South Chicago,46.0,,social vulnerability index in community areas,,,79.5163467247348,,
42,Community area,Burnside,47.0,,social vulnerability index in community areas,,,85.6430024488488,,
43,Community area,Calumet Heights,48.0,,social vulnerability index in community areas,,,53.0930021074419,,
44,Community area,Roseland,49.0,,social vulnerability index in community areas,,,77.5547936004754,,
45,Community area,North Center,5.0,,social vulnerability index in community areas,,,13.7436845980964,,
46,Community area,Pullman,50.0,,social vulnerability index in community areas,,,45.5650520215603,,
47,Community area,South Deering,51.0,,social vulnerability index in community areas,,,85.3721428025175,,
48,Community area,East Side,52.0,,social vulnerability index in community areas,,,71.0739711156204,,
49,Community area,West Pullman,53.0,,social vulnerability index in community areas,,,75.8341580878844,,
50,Community area,Riverdale,54.0,,social vulnerability index in community areas,,,84.3565231665086,,
51,Community area,Hegewisch,55.0,,social vulnerability index in community areas,,,74.0836390695204,,
52,Community area,Garfield Ridge,56.0,,social vulnerability index in community areas,,,54.7519943444078,,
53,Community area,Archer Heights,57.0,,social vulnerability index in community areas,,,70.1847981299472,,
54,Community area,Brighton Park,58.0,,social vulnerability index in community areas,,,81.5104662921678,,
55,Community area,McKinley Park,59.0,,social vulnerability index in community areas,,,70.7220466026113,,
56,Community area,Lake View,6.0,,social vulnerability index in community areas,,,16.9312936439817,,
57,Community area,Bridgeport,60.0,,social vulnerability index in community areas,,,66.3386017299552,,
58,Community area,New City,61.0,,social vulnerability index in community areas,,,83.1955353326751,,
59,Community area,West Elsdon,62.0,,social vulnerability index in community areas,,,75.5180096979947,,
60,Community area,Gage Park,63.0,,social vulnerability index in community areas,,,90.4798505466213,,
61,Community area,Clearing,64.0,,social vulnerability index in community areas,,,55.9708553908199,,
62,Community area,West Lawn,65.0,,social vulnerability index in community areas,,,78.5284261386088,,
63,Community area,Chicago Lawn,66.0,,social vulnerability index in community areas,,,90.7997486274631,,
64,Community area,West Englewood,67.0,,social vulnerability index in community areas,,,81.5101094550786,,
65,Community area,Englewood,68.0,,social vulnerability index in community areas,,,88.9815162652863,,
66,Community area,Greater Grand Crossing,69.0,,social vulnerability index in community areas,,,83.4947470691415,,
67,Community area,Lincoln Park,7.0,,social vulnerability index in community areas,,,16.5065626601661,,
68,Community area,Ashburn,70.0,,social vulnerability index in community areas,,,69.0871224224352,,
69,Community area,Auburn Gresham,71.0,,social vulnerability index in community areas,,,80.6052360207367,,
70,Community area,Beverly,72.0,,social vulnerability index in community areas,,,13.4895216054874,,
71,Community area,Washington Heights,73.0,,social vulnerability index in community areas,,,66.4630713722018,,
72,Community area,Mount Greenwood,74.0,,social vulnerability index in community areas,,,24.3278406886242,,
73,Community area,Morgan Park,75.0,,social vulnerability index in community areas,,,52.2969022168089,,
74,Community area,O'Hare,76.0,,social vulnerability index in community areas,,,59.9907566862553,,
75,Community area,Edgewater,77.0,,social vulnerability index in community areas,,,58.0145766086318,,
76,Community area,Near North Side,8.0,,social vulnerability index in community areas,,,26.1984750904374,,
77,Community area,Edison Park,9.0,,social vulnerability index in community areas,,,8.16174762769048,,
0,nan,nan,nan,,health care satisfaction rate in community areas,,,,"Health care satisfaction rate (% of adults), 2020-2021",
2,Community area,Norwood Park,10.0,,health care satisfaction rate in community areas,,,,68.573138159,
3,Community area,Jefferson Park,11.0,,health care satisfaction rate in community areas,,,,68.871929734,
4,Community area,Forest Glen,12.0,,health care satisfaction rate in community areas,,,,66.813378514,
5,Community area,North Park,13.0,,health care satisfaction rate in community areas,,,,68.584662449,
6,Community area,Albany Park,14.0,,health care satisfaction rate in community areas,,,,48.591624339,
7,Community area,Portage Park,15.0,,health care satisfaction rate in community areas,,,,58.316073342,
8,Community area,Irving Park,16.0,,health care satisfaction rate in community areas,,,,58.51525481,
9,Community area,Dunning,17.0,,health care satisfaction rate in community areas,,,,65.736819711,
10,Community area,Montclare,18.0,,health care satisfaction rate in community areas,,,,69.045889751,
11,Community area,Belmont Cragin,19.0,,health care satisfaction rate in community areas,,,,63.393564431,
12,Community area,West Ridge,2.0,,health care satisfaction rate in community areas,,,,64.989339698,
13,Community area,Hermosa,20.0,,health care satisfaction rate in community areas,,,,37.863592345,
14,Community area,Avondale,21.0,,health care satisfaction rate in community areas,,,,58.923951626,
15,Community area,Logan Square,22.0,,health care satisfaction rate in community areas,,,,59.829745346,
16,Community area,Humboldt Park,23.0,,health care satisfaction rate in community areas,,,,44.864819393,
17,Community area,West Town,24.0,,health care satisfaction rate in community areas,,,,53.460911339,
18,Community area,Austin,25.0,,health care satisfaction rate in community areas,,,,51.275433585,
19,Community area,West Garfield Park,26.0,,health care satisfaction rate in community areas,,,,66.545901766,
20,Community area,East Garfield Park,27.0,,health care satisfaction rate in community areas,,,,64.092900405,
21,Community area,Near West Side,28.0,,health care satisfaction rate in community areas,,,,50.809984298,
22,Community area,North Lawndale,29.0,,health care satisfaction rate in community areas,,,,71.327061361,
23,Community area,Uptown,3.0,,health care satisfaction rate in community areas,,,,53.589236979,
24,Community area,South Lawndale,30.0,,health care satisfaction rate in community areas,,,,56.543306973,
25,Community area,Lower West Side,31.0,,health care satisfaction rate in community areas,,,,60.79400522,
26,Community area,Loop,32.0,,health care satisfaction rate in community areas,,,,72.983369842,
27,Community area,Near South Side,33.0,,health care satisfaction rate in community areas,,,,59.104070984,
28,Community area,Armour Square,34.0,,health care satisfaction rate in community areas,,,,63.928089151,
29,Community area,Douglas,35.0,,health care satisfaction rate in community areas,,,,66.766686299,
30,Community area,Oakland,36.0,,health care satisfaction rate in community areas,,,,78.584094297,
31,Community area,Fuller Park,37.0,,health care satisfaction rate in community areas,,,,68.066693509,
32,Community area,Grand Boulevard,38.0,,health care satisfaction rate in community areas,,,,49.919300674,
33,Community area,Kenwood,39.0,,health care satisfaction rate in community areas,,,,78.056218759,
34,Community area,Lincoln Square,4.0,,health care satisfaction rate in community areas,,,,62.243762427,
35,Community area,Washington Park,40.0,,health care satisfaction rate in community areas,,,,31.727647617,
36,Community area,Hyde Park,41.0,,health care satisfaction rate in community areas,,,,57.694404451,
37,Community area,Woodlawn,42.0,,health care satisfaction rate in community areas,,,,51.139955407,
38,Community area,South Shore,43.0,,health care satisfaction rate in community areas,,,,63.026931479,
