,GEOID,Longitude,Latitude,indicator,value,bin_value_bin
64,17031050200,-87.6837168,41.9577405,"Uninsured rate (% of residents), 2015-2019",0.765907306,0.0
65,17031050300,-87.6915186,41.957678,"Uninsured rate (% of residents), 2015-2019",4.550946436,1.0
66,17031050500,-87.6835073,41.9504474,"Uninsured rate (% of residents), 2015-2019",2.113628678,0.0
67,17031050600,-87.6761813,41.9505466,"Uninsured rate (% of residents), 2015-2019",1.25,0.0
68,17031050700,-87.6760595,41.945071,"Uninsured rate (% of residents), 2015-2019",1.894374282,0.0
69,17031050800,-87.6809279,41.9450095,"Uninsured rate (% of residents), 2015-2019",2.567760342,0.0
70,17031050900,-87.685778,41.9449466,"Uninsured rate (% of residents), 2015-2019",3.253182461,0.0
71,17031051000,-87.6857317,41.9413024,"Uninsured rate (% of residents), 2015-2019",4.264625478,0.0
72,17031051100,-87.6808266,41.9413652,"Uninsured rate (% of residents), 2015-2019",4.272517321,0.0
73,17031051200,-87.6759521,41.9414214,"Uninsured rate (% of residents), 2015-2019",0.738255034,0.0
74,17031051300,-87.6758403,41.9359961,"Uninsured rate (% of residents), 2015-2019",1.659177325,0.0
75,17031051400,-87.6809905,41.9357489,"Uninsured rate (% of residents), 2015-2019",3.725205612,0.0
76,17031060100,-87.6666112,41.9575311,"Uninsured rate (% of residents), 2015-2019",3.776794828,0.0
77,17031060200,-87.6715175,41.9579036,"Uninsured rate (% of residents), 2015-2019",12.67793594,2.0
78,17031060300,-87.6713317,41.9506061,"Uninsured rate (% of residents), 2015-2019",7.186648501,1.0
79,17031060400,-87.6665364,41.9506732,"Uninsured rate (% of residents), 2015-2019",3.043590405,0.0
80,17031060500,-87.6605008,41.95272,"Uninsured rate (% of residents), 2015-2019",1.169590643,0.0
81,17031060800,-87.6426489,41.953959,"Uninsured rate (% of residents), 2015-2019",3.123135071,0.0
82,17031060900,-87.6417784,41.9515166,"Uninsured rate (% of residents), 2015-2019",6.171146462,1.0
83,17031061000,-87.6519703,41.9492206,"Uninsured rate (% of residents), 2015-2019",2.543142598,0.0
84,17031061100,-87.6568035,41.9491398,"Uninsured rate (% of residents), 2015-2019",3.435672515,0.0
85,17031061200,-87.6616427,41.9490599,"Uninsured rate (% of residents), 2015-2019",5.175600739,1.0
86,17031061500,-87.6615447,41.9452818,"Uninsured rate (% of residents), 2015-2019",2.2,0.0
87,17031061800,-87.6471132,41.9464895,"Uninsured rate (% of residents), 2015-2019",7.77385159,1.0
88,17031061901,-87.6434599,41.9432367,"Uninsured rate (% of residents), 2015-2019",4.037800687,0.0
89,17031061902,-87.6358414,41.9431822,"Uninsured rate (% of residents), 2015-2019",12.81781887,2.0
90,17031062000,-87.6470786,41.9425769,"Uninsured rate (% of residents), 2015-2019",1.75090849,0.0
91,17031062100,-87.6517704,41.9426914,"Uninsured rate (% of residents), 2015-2019",4.379365932,0.0
92,17031062200,-87.656644,41.9425847,"Uninsured rate (% of residents), 2015-2019",2.476572959,0.0
93,17031062300,-87.6614432,41.9416278,"Uninsured rate (% of residents), 2015-2019",1.44200627,0.0
94,17031062400,-87.6662882,41.9415556,"Uninsured rate (% of residents), 2015-2019",0.636537237,0.0
95,17031062500,-87.6711073,41.941488,"Uninsured rate (% of residents), 2015-2019",1.4781491,0.0
96,17031062600,-87.6709843,41.9359751,"Uninsured rate (% of residents), 2015-2019",0.85995086,0.0
97,17031062700,-87.6661103,41.9360862,"Uninsured rate (% of residents), 2015-2019",1.374916164,0.0
98,17031062800,-87.6612648,41.9361586,"Uninsured rate (% of residents), 2015-2019",2.456647399,0.0
99,17031062900,-87.6564113,41.936237,"Uninsured rate (% of residents), 2015-2019",2.828706129,0.0
100,17031063000,-87.6515617,41.9363102,"Uninsured rate (% of residents), 2015-2019",3.009259259,0.0
101,17031063100,-87.6467799,41.9382319,"Uninsured rate (% of residents), 2015-2019",3.08310992,0.0
102,17031063200,-87.6346726,41.9389231,"Uninsured rate (% of residents), 2015-2019",2.251238181,0.0
103,17031063301,-87.643024,41.9345408,"Uninsured rate (% of residents), 2015-2019",1.608775137,0.0
104,17031063302,-87.639854,41.9347647,"Uninsured rate (% of residents), 2015-2019",4.688681623,1.0
105,17031063303,-87.6346613,41.9347312,"Uninsured rate (% of residents), 2015-2019",1.609010459,0.0
106,17031063400,-87.64673,41.9346596,"Uninsured rate (% of residents), 2015-2019",1.760130986,0.0
107,17031070101,-87.6323247,41.9295225,"Uninsured rate (% of residents), 2015-2019",4.478764479,1.0
108,17031070102,-87.642202,41.9305829,"Uninsured rate (% of residents), 2015-2019",5.588963566,1.0
109,17031070103,-87.6426051,41.926811,"Uninsured rate (% of residents), 2015-2019",1.344743276,0.0
110,17031070200,-87.646293,41.9290777,"Uninsured rate (% of residents), 2015-2019",2.434226703,0.0
111,17031070300,-87.6513102,41.9290463,"Uninsured rate (% of residents), 2015-2019",3.082003302,0.0
112,17031070400,-87.6561563,41.9289672,"Uninsured rate (% of residents), 2015-2019",1.269438274,0.0
113,17031070500,-87.6608922,41.9289455,"Uninsured rate (% of residents), 2015-2019",1.684867395,0.0
114,17031070600,-87.6656766,41.9287627,"Uninsured rate (% of residents), 2015-2019",1.516990291,0.0
115,17031070700,-87.6738022,41.9292624,"Uninsured rate (% of residents), 2015-2019",2.14745884,0.0
116,17031071000,-87.6559114,41.9217011,"Uninsured rate (% of residents), 2015-2019",4.574881312,1.0
117,17031071100,-87.6510614,41.9217778,"Uninsured rate (% of residents), 2015-2019",3.211549794,0.0
118,17031071200,-87.6462106,41.9218547,"Uninsured rate (% of residents), 2015-2019",1.840490798,0.0
119,17031071300,-87.6414578,41.9217794,"Uninsured rate (% of residents), 2015-2019",4.38718663,1.0
120,17031071400,-87.6295259,41.9227255,"Uninsured rate (% of residents), 2015-2019",0.706436421,0.0
121,17031071500,-87.6250924,41.9142425,"Uninsured rate (% of residents), 2015-2019",2.990140617,0.0
122,17031071600,-87.6411828,41.9164725,"Uninsured rate (% of residents), 2015-2019",1.410658307,0.0
123,17031071700,-87.6410718,41.9128666,"Uninsured rate (% of residents), 2015-2019",4.491017964,1.0
124,17031071800,-87.645966,41.9145855,"Uninsured rate (% of residents), 2015-2019",2.870264064,0.0
125,17031080100,-87.6267897,41.9075537,"Uninsured rate (% of residents), 2015-2019",3.67897938,0.0
126,17031080201,-87.6310051,41.9094976,"Uninsured rate (% of residents), 2015-2019",2.753164557,0.0
127,17031080202,-87.6309008,41.9058588,"Uninsured rate (% of residents), 2015-2019",4.132973944,0.0
128,17031080300,-87.6357986,41.90749,"Uninsured rate (% of residents), 2015-2019",2.423131745,0.0
129,17031080400,-87.6409015,41.9074122,"Uninsured rate (% of residents), 2015-2019",1.639344262,0.0
130,17031081000,-87.6321089,41.9002655,"Uninsured rate (% of residents), 2015-2019",5.717502815,1.0
131,17031081100,-87.6291049,41.9002207,"Uninsured rate (% of residents), 2015-2019",2.166666667,0.0
132,17031081201,-87.626212,41.8991538,"Uninsured rate (% of residents), 2015-2019",1.910422416,0.0
133,17031081202,-87.6242374,41.9043769,"Uninsured rate (% of residents), 2015-2019",1.878415301,0.0
134,17031081300,-87.6207531,41.8983354,"Uninsured rate (% of residents), 2015-2019",3.671425922,0.0
135,17031081401,-87.6197175,41.8950347,"Uninsured rate (% of residents), 2015-2019",3.057553957,0.0
136,17031081402,-87.612931,41.8910215,"Uninsured rate (% of residents), 2015-2019",0.70783932,0.0
137,17031081403,-87.6132562,41.8894126,"Uninsured rate (% of residents), 2015-2019",0.863905325,0.0
138,17031081500,-87.62623,41.892559,"Uninsured rate (% of residents), 2015-2019",1.371378014,0.0
139,17031081600,-87.6288737,41.8921063,"Uninsured rate (% of residents), 2015-2019",0.717821782,0.0
140,17031081700,-87.6318681,41.8920668,"Uninsured rate (% of residents), 2015-2019",2.112676056,0.0
141,17031081800,-87.6377985,41.893257,"Uninsured rate (% of residents), 2015-2019",1.1781889,0.0
142,17031081900,-87.641487,41.89799,"Uninsured rate (% of residents), 2015-2019",7.30994152,1.0
143,17031090100,-87.8135847,42.0152551,"Uninsured rate (% of residents), 2015-2019",2.450840695,0.0
144,17031090200,-87.8130961,42.005594,"Uninsured rate (% of residents), 2015-2019",2.60286783,0.0
145,17031090300,-87.8163644,41.9991127,"Uninsured rate (% of residents), 2015-2019",1.269604182,0.0
146,17031100100,-87.7830136,41.989584,"Uninsured rate (% of residents), 2015-2019",6.927175844,1.0
147,17031100200,-87.7943145,41.9956583,"Uninsured rate (% of residents), 2015-2019",0.511971089,0.0
148,17031100300,-87.8044027,41.9887024,"Uninsured rate (% of residents), 2015-2019",3.050620181,0.0
149,17031100400,-87.8180411,41.9889687,"Uninsured rate (% of residents), 2015-2019",1.909518214,0.0
150,17031100500,-87.8197335,41.9780598,"Uninsured rate (% of residents), 2015-2019",1.181506849,0.0
151,17031100600,-87.7974007,41.9792049,"Uninsured rate (% of residents), 2015-2019",5.822203673,1.0
152,17031100700,-87.7976295,41.9721235,"Uninsured rate (% of residents), 2015-2019",8.166023166,1.0
153,17031110100,-87.7696729,41.9874756,"Uninsured rate (% of residents), 2015-2019",5.458832064,1.0
154,17031110200,-87.7734442,41.9800699,"Uninsured rate (% of residents), 2015-2019",8.336025848,1.0
155,17031110300,-87.7832349,41.9752907,"Uninsured rate (% of residents), 2015-2019",8.628775089,2.0
156,17031110400,-87.7726114,41.9729536,"Uninsured rate (% of residents), 2015-2019",11.7873982,2.0
157,17031110501,-87.7619249,41.9770023,"Uninsured rate (% of residents), 2015-2019",9.280873494,2.0
158,17031110502,-87.7598523,41.9702865,"Uninsured rate (% of residents), 2015-2019",9.373251259,2.0
159,17031120100,-87.7750065,42.0019817,"Uninsured rate (% of residents), 2015-2019",3.318903319,0.0
160,17031120200,-87.7576108,41.9945319,"Uninsured rate (% of residents), 2015-2019",3.038853918,0.0
161,17031120300,-87.740066,41.9911122,"Uninsured rate (% of residents), 2015-2019",3.612884504,0.0
162,17031120400,-87.7521624,41.9772355,"Uninsured rate (% of residents), 2015-2019",7.298094983,1.0
163,17031130100,-87.7208089,41.991104,"Uninsured rate (% of residents), 2015-2019",6.923972071,1.0
164,17031130200,-87.7328798,41.9809134,"Uninsured rate (% of residents), 2015-2019",2.609802673,0.0
165,17031130300,-87.7133915,41.9865589,"Uninsured rate (% of residents), 2015-2019",13.28734798,3.0
166,17031140100,-87.7057941,41.9710844,"Uninsured rate (% of residents), 2015-2019",17.59549155,3.0
167,17031140200,-87.7130043,41.9706949,"Uninsured rate (% of residents), 2015-2019",21.07827727,3.0
168,17031140301,-87.7231695,41.9692055,"Uninsured rate (% of residents), 2015-2019",31.3138429,3.0
169,17031140302,-87.7237891,41.9725485,"Uninsured rate (% of residents), 2015-2019",12.97989031,2.0
170,17031140400,-87.7389429,41.9715371,"Uninsured rate (% of residents), 2015-2019",9.233857477,2.0
171,17031140500,-87.7318319,41.9653619,"Uninsured rate (% of residents), 2015-2019",20.18911321,3.0
172,17031140601,-87.7258909,41.9646471,"Uninsured rate (% of residents), 2015-2019",26.2993763,3.0
173,17031140602,-87.7210166,41.964652,"Uninsured rate (% of residents), 2015-2019",16.41970364,3.0
174,17031140701,-87.7126524,41.9670375,"Uninsured rate (% of residents), 2015-2019",22.85336856,3.0
175,17031140702,-87.7135753,41.9635482,"Uninsured rate (% of residents), 2015-2019",21.55187147,3.0
176,17031140800,-87.7027751,41.9644942,"Uninsured rate (% of residents), 2015-2019",6.009728542,1.0
177,17031150200,-87.7524131,41.9606747,"Uninsured rate (% of residents), 2015-2019",9.712369405,2.0
178,17031150300,-87.7622859,41.9605179,"Uninsured rate (% of residents), 2015-2019",8.44568812,1.0
179,17031150401,-87.7722648,41.9645676,"Uninsured rate (% of residents), 2015-2019",9.411285394,2.0
180,17031150402,-87.7720436,41.9567979,"Uninsured rate (% of residents), 2015-2019",9.221902017,2.0
181,17031150501,-87.7819639,41.9644762,"Uninsured rate (% of residents), 2015-2019",5.68793236,1.0
182,17031150502,-87.7818414,41.9567784,"Uninsured rate (% of residents), 2015-2019",9.840977184,2.0
183,17031150600,-87.7717578,41.9494731,"Uninsured rate (% of residents), 2015-2019",10.53408811,2.0
184,17031150700,-87.761958,41.9495915,"Uninsured rate (% of residents), 2015-2019",12.26580065,2.0
185,17031150800,-87.7521182,41.9497086,"Uninsured rate (% of residents), 2015-2019",11.84046531,2.0
186,17031151001,-87.7543527,41.9423826,"Uninsured rate (% of residents), 2015-2019",11.20228327,2.0
187,17031151002,-87.7471554,41.9424917,"Uninsured rate (% of residents), 2015-2019",25.96075225,3.0
188,17031151100,-87.7617175,41.9422903,"Uninsured rate (% of residents), 2015-2019",16.0262418,3.0
189,17031151200,-87.7714953,41.942169,"Uninsured rate (% of residents), 2015-2019",7.771017699,1.0
190,17031160100,-87.7427951,41.9646284,"Uninsured rate (% of residents), 2015-2019",8.435159637,1.0
191,17031160200,-87.7384,41.9587937,"Uninsured rate (% of residents), 2015-2019",3.618090452,0.0
192,17031160300,-87.7308958,41.9572682,"Uninsured rate (% of residents), 2015-2019",8.848520363,2.0
193,17031160400,-87.7228239,41.9573657,"Uninsured rate (% of residents), 2015-2019",14.95564005,3.0
194,17031160501,-87.7129732,41.9592098,"Uninsured rate (% of residents), 2015-2019",22.39363026,3.0
195,17031160502,-87.7130876,41.9555841,"Uninsured rate (% of residents), 2015-2019",18.93268973,3.0
196,17031160601,-87.7021491,41.9595316,"Uninsured rate (% of residents), 2015-2019",15.38002981,3.0
197,17031160602,-87.7006348,41.956093,"Uninsured rate (% of residents), 2015-2019",12.87817938,2.0
198,17031160700,-87.7019833,41.950419,"Uninsured rate (% of residents), 2015-2019",17.07662361,3.0
199,17031160800,-87.7128146,41.9502131,"Uninsured rate (% of residents), 2015-2019",21.34090493,3.0
200,17031160900,-87.7226082,41.9500821,"Uninsured rate (% of residents), 2015-2019",7.329635499,1.0
201,17031161000,-87.7306829,41.9499766,"Uninsured rate (% of residents), 2015-2019",5.665591893,1.0
202,17031161100,-87.738155,41.94988,"Uninsured rate (% of residents), 2015-2019",1.030421982,0.0
203,17031161200,-87.7385701,41.9425489,"Uninsured rate (% of residents), 2015-2019",14.83498879,3.0
204,17031161300,-87.7310023,41.9426994,"Uninsured rate (% of residents), 2015-2019",21.2869943,3.0
205,17031170100,-87.7948168,41.9558596,"Uninsured rate (% of residents), 2015-2019",8.120386144,1.0
206,17031170200,-87.7815188,41.9493528,"Uninsured rate (% of residents), 2015-2019",11.45444859,2.0
207,17031170300,-87.7968278,41.9491248,"Uninsured rate (% of residents), 2015-2019",11.81323833,2.0
208,17031170400,-87.8127107,41.9489081,"Uninsured rate (% of residents), 2015-2019",7.304846025,1.0
209,17031170500,-87.8288957,41.9500779,"Uninsured rate (% of residents), 2015-2019",4.783475267,1.0
210,17031170600,-87.8307016,41.9412943,"Uninsured rate (% of residents), 2015-2019",6.088709677,1.0
211,17031170700,-87.822164,41.9414866,"Uninsured rate (% of residents), 2015-2019",3.778184034,0.0
212,17031170800,-87.8123713,41.9415761,"Uninsured rate (% of residents), 2015-2019",7.699828893,1.0
213,17031170900,-87.8116057,41.9361959,"Uninsured rate (% of residents), 2015-2019",16.46937725,3.0
214,17031171000,-87.7965238,41.9418072,"Uninsured rate (% of residents), 2015-2019",11.31964809,2.0
215,17031171100,-87.7812865,41.9420528,"Uninsured rate (% of residents), 2015-2019",3.289309743,0.0
216,17031180100,-87.7986731,41.9344789,"Uninsured rate (% of residents), 2015-2019",11.94345141,2.0
217,17031190100,-87.7443889,41.9352176,"Uninsured rate (% of residents), 2015-2019",19.07867917,3.0
218,17031190200,-87.7516489,41.9351136,"Uninsured rate (% of residents), 2015-2019",13.6861939,3.0
219,17031190300,-87.7614635,41.9349864,"Uninsured rate (% of residents), 2015-2019",16.70895252,3.0
220,17031190401,-87.7809524,41.9347276,"Uninsured rate (% of residents), 2015-2019",11.37915339,2.0
221,17031190402,-87.7712318,41.9348596,"Uninsured rate (% of residents), 2015-2019",13.81615599,3.0
222,17031190601,-87.7804606,41.9274146,"Uninsured rate (% of residents), 2015-2019",17.34324759,3.0
223,17031190602,-87.7707371,41.9275604,"Uninsured rate (% of residents), 2015-2019",19.42046856,3.0
224,17031190701,-87.7614217,41.9297959,"Uninsured rate (% of residents), 2015-2019",20.10968921,3.0
225,17031190702,-87.7610395,41.9261631,"Uninsured rate (% of residents), 2015-2019",22.21123418,3.0
226,17031190800,-87.7513624,41.9278186,"Uninsured rate (% of residents), 2015-2019",17.22054381,3.0
227,17031190900,-87.7441048,41.9279225,"Uninsured rate (% of residents), 2015-2019",17.00223714,3.0
228,17031191000,-87.743801,41.9192297,"Uninsured rate (% of residents), 2015-2019",13.44322344,3.0
229,17031191100,-87.7509763,41.9196293,"Uninsured rate (% of residents), 2015-2019",14.5950628,3.0
230,17031191200,-87.7608269,41.9201432,"Uninsured rate (% of residents), 2015-2019",24.27831236,3.0
231,17031191301,-87.7802655,41.9201522,"Uninsured rate (% of residents), 2015-2019",15.2760181,3.0
232,17031191302,-87.7705334,41.9202289,"Uninsured rate (% of residents), 2015-2019",13.75346809,3.0
233,17031200100,-87.7376226,41.9350552,"Uninsured rate (% of residents), 2015-2019",14.25964546,3.0
234,17031200200,-87.7356282,41.9278523,"Uninsured rate (% of residents), 2015-2019",13.92326733,3.0
235,17031200300,-87.7341264,41.9234806,"Uninsured rate (% of residents), 2015-2019",18.75977071,3.0
236,17031200401,-87.7375419,41.9198285,"Uninsured rate (% of residents), 2015-2019",25.23667839,3.0
237,17031200402,-87.7296789,41.9196348,"Uninsured rate (% of residents), 2015-2019",14.54098727,3.0
238,17031210100,-87.7013309,41.9428681,"Uninsured rate (% of residents), 2015-2019",12.89614822,2.0
239,17031210400,-87.7303057,41.935745,"Uninsured rate (% of residents), 2015-2019",24.12974684,3.0
240,17031210501,-87.7223301,41.9374013,"Uninsured rate (% of residents), 2015-2019",22.45301682,3.0
241,17031210502,-87.7220524,41.9337846,"Uninsured rate (% of residents), 2015-2019",21.29753915,3.0
242,17031210601,-87.712214,41.9376356,"Uninsured rate (% of residents), 2015-2019",11.43963393,2.0
243,17031210602,-87.712572,41.934163,"Uninsured rate (% of residents), 2015-2019",12.43890518,2.0
244,17031210700,-87.7038401,41.9357029,"Uninsured rate (% of residents), 2015-2019",10.44811321,2.0
245,17031210800,-87.6989334,41.9357455,"Uninsured rate (% of residents), 2015-2019",26.69527897,3.0
246,17031210900,-87.6933366,41.9354391,"Uninsured rate (% of residents), 2015-2019",7.979071288,1.0
247,17031220300,-87.6950863,41.9284647,"Uninsured rate (% of residents), 2015-2019",4.541015625,1.0
248,17031220400,-87.6999684,41.9284314,"Uninsured rate (% of residents), 2015-2019",2.511831088,0.0
249,17031220500,-87.7049111,41.9283965,"Uninsured rate (% of residents), 2015-2019",8.549740312,2.0
250,17031220601,-87.7128836,41.9258252,"Uninsured rate (% of residents), 2015-2019",6.203473945,1.0
251,17031220602,-87.7119812,41.9293272,"Uninsured rate (% of residents), 2015-2019",9.751121991,2.0
252,17031220701,-87.7215651,41.9261554,"Uninsured rate (% of residents), 2015-2019",14.78369125,3.0
253,17031220702,-87.7242313,41.9293687,"Uninsured rate (% of residents), 2015-2019",16.65812404,3.0
254,17031220901,-87.7212483,41.9191816,"Uninsured rate (% of residents), 2015-2019",10.94062708,2.0
255,17031220902,-87.7218357,41.9227112,"Uninsured rate (% of residents), 2015-2019",9.793447293,2.0
256,17031221000,-87.7152526,41.9209604,"Uninsured rate (% of residents), 2015-2019",13.24431613,3.0
257,17031221100,-87.7103609,41.9210205,"Uninsured rate (% of residents), 2015-2019",14.76078095,3.0
258,17031221200,-87.7046499,41.9210831,"Uninsured rate (% of residents), 2015-2019",4.757403907,1.0
259,17031221300,-87.6997541,41.9211256,"Uninsured rate (% of residents), 2015-2019",13.37269885,3.0
260,17031221400,-87.694532,41.9208013,"Uninsured rate (% of residents), 2015-2019",7.697201018,1.0
261,17031221500,-87.6899513,41.9216468,"Uninsured rate (% of residents), 2015-2019",11.51870873,2.0
262,17031221600,-87.685098,41.9212455,"Uninsured rate (% of residents), 2015-2019",1.774785802,0.0
263,17031222200,-87.6838262,41.9159095,"Uninsured rate (% of residents), 2015-2019",0.988397078,0.0
264,17031222500,-87.6995969,41.9157082,"Uninsured rate (% of residents), 2015-2019",8.865248227,2.0
265,17031222600,-87.7044798,41.9156388,"Uninsured rate (% of residents), 2015-2019",9.681298857,2.0
266,17031222700,-87.7101912,41.9154907,"Uninsured rate (% of residents), 2015-2019",11.90755973,2.0
267,17031222800,-87.7150953,41.9154349,"Uninsured rate (% of residents), 2015-2019",20.45454545,3.0
268,17031222900,-87.7200744,41.9155644,"Uninsured rate (% of residents), 2015-2019",7.462686567,1.0
269,17031230100,-87.7043655,41.912008,"Uninsured rate (% of residents), 2015-2019",7.901234568,1.0
270,17031230200,-87.7100991,41.9118582,"Uninsured rate (% of residents), 2015-2019",18.20194863,3.0
271,17031230300,-87.7149884,41.9117866,"Uninsured rate (% of residents), 2015-2019",20.57613169,3.0
272,17031230400,-87.721552,41.9118202,"Uninsured rate (% of residents), 2015-2019",22.91866029,3.0
273,17031230500,-87.7339434,41.9116892,"Uninsured rate (% of residents), 2015-2019",14.78809739,3.0
