,GEOID,Longitude,Latitude,"binUninsured rate (% of residents), 2015-2019","binHomicide (crimes), 2017-2021","binMajor crime (crimes), 2016-2020","binViolent crime (crimes), 2016-2020","binEviction rate (% of renter-occupied households), 2018","binSeverely rent-burdened (% of renter-occupied housing units), 2015-2019","binTraffic crashes (number of crashes), 2021","binHigh school graduation rate (% of residents), 2015-2019","binCollege graduation rate (% of residents), 2015-2019","binUnemployment rate (%), 2015-2019","binMedian household income, 2015-2019","binPer capita income, 2015-2019","binPoverty rate (% of residents), 2015-2019","binDemographics, Non-Hispanic White (% of residents), 2016-2020","binPopulation (residents), 2015-2019",indicator,value
31,17031030400,-87.6720788,41.9869515,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1,"Uninsured rate (% of residents), 2015-2019",8.969973394
32,17031030500,-87.6649359,41.987226,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",4.104028863
33,17031030601,-87.6549042,41.9888802,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2,"Uninsured rate (% of residents), 2015-2019",11.82592242
34,17031030603,-87.6583979,41.9854762,3.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,1,"Uninsured rate (% of residents), 2015-2019",14.77178423
35,17031030604,-87.6525371,41.9856608,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,2.0,2.0,2,"Uninsured rate (% of residents), 2015-2019",8.53042785
36,17031030701,-87.6579659,41.9827453,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0,"Uninsured rate (% of residents), 2015-2019",9.472259811
37,17031030702,-87.6548217,41.9806894,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1,"Uninsured rate (% of residents), 2015-2019",5.744007237
38,17031030703,-87.6578708,41.9788748,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0,1,"Uninsured rate (% of residents), 2015-2019",7.329487615
39,17031030706,-87.6509792,41.9804694,2.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1,"Uninsured rate (% of residents), 2015-2019",11.98594025
40,17031030800,-87.664188,41.9799123,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",1.754825771
41,17031030900,-87.6714454,41.9797951,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",7.933461292
42,17031031000,-87.6711094,41.972437,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",8.560411311
43,17031031100,-87.6638662,41.9726684,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",4.655172414
44,17031031200,-87.657341,41.9727092,3.0,1.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",14.62691484
45,17031031300,-87.6465298,41.9737646,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",9.80740336
46,17031031400,-87.6424095,41.9584475,1.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",4.88006617
47,17031031501,-87.6524344,41.9672885,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2,"Uninsured rate (% of residents), 2015-2019",10.5734767
48,17031031502,-87.6523656,41.9636326,3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",17.01849837
49,17031031700,-87.6631954,41.9654466,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",4.666166542
50,17031031800,-87.6706209,41.9670114,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",6.934886183
51,17031031900,-87.6701841,41.963374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",3.870211102
52,17031032100,-87.6530179,41.9581538,1.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",6.85147946
53,17031040100,-87.6829955,41.9854807,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,3.0,1.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",7.948523846
54,17031040201,-87.6940005,41.9725804,1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",4.490754329
55,17031040202,-87.694096,41.9798549,3.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",18.13541107
56,17031040300,-87.7019748,41.9768011,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1,"Uninsured rate (% of residents), 2015-2019",7.437150838
57,17031040401,-87.6860816,41.9720667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",5.138461538
58,17031040402,-87.678818,41.972545,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",4.384943733
59,17031040600,-87.6840181,41.9668338,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",11.89106252
60,17031040700,-87.6940868,41.9668044,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",5.909752547
61,17031040800,-87.6922993,41.9631612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",3.841309824
62,17031040900,-87.6838544,41.9631847,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",8.245798319
63,17031050100,-87.676373,41.9578451,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",2.631578947
64,17031050200,-87.6837168,41.9577405,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",0.765907306
65,17031050300,-87.6915186,41.957678,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",4.550946436
66,17031050500,-87.6835073,41.9504474,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",2.113628678
67,17031050600,-87.6761813,41.9505466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",1.25
68,17031050700,-87.6760595,41.945071,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",1.894374282
69,17031050800,-87.6809279,41.9450095,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",2.567760342
70,17031050900,-87.685778,41.9449466,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",3.253182461
71,17031051000,-87.6857317,41.9413024,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",4.264625478
72,17031051100,-87.6808266,41.9413652,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",4.272517321
73,17031051200,-87.6759521,41.9414214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",0.738255034
74,17031051300,-87.6758403,41.9359961,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",1.659177325
75,17031051400,-87.6809905,41.9357489,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",3.725205612
76,17031060100,-87.6666112,41.9575311,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",3.776794828
77,17031060200,-87.6715175,41.9579036,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",12.67793594
78,17031060300,-87.6713317,41.9506061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",7.186648501
79,17031060400,-87.6665364,41.9506732,0.0,0.0,1.0,0.0,,1.0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",3.043590405
80,17031060500,-87.6605008,41.95272,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",1.169590643
81,17031060800,-87.6426489,41.953959,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",3.123135071
82,17031060900,-87.6417784,41.9515166,1.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,3.0,0.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",6.171146462
83,17031061000,-87.6519703,41.9492206,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",2.543142598
84,17031061100,-87.6568035,41.9491398,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",3.435672515
85,17031061200,-87.6616427,41.9490599,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",5.175600739
86,17031061500,-87.6615447,41.9452818,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",2.2
87,17031061800,-87.6471132,41.9464895,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",7.77385159
88,17031061901,-87.6434599,41.9432367,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",4.037800687
89,17031061902,-87.6358414,41.9431822,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",12.81781887
90,17031062000,-87.6470786,41.9425769,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",1.75090849
91,17031062100,-87.6517704,41.9426914,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",4.379365932
92,17031062200,-87.656644,41.9425847,0.0,0.0,2.0,1.0,,1.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",2.476572959
93,17031062300,-87.6614432,41.9416278,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",1.44200627
94,17031062400,-87.6662882,41.9415556,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",0.636537237
95,17031062500,-87.6711073,41.941488,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",1.4781491
96,17031062600,-87.6709843,41.9359751,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",0.85995086
97,17031062700,-87.6661103,41.9360862,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",1.374916164
98,17031062800,-87.6612648,41.9361586,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",2.456647399
99,17031062900,-87.6564113,41.936237,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",2.828706129
100,17031063000,-87.6515617,41.9363102,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",3.009259259
101,17031063100,-87.6467799,41.9382319,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",3.08310992
102,17031063200,-87.6346726,41.9389231,0.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,0.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",2.251238181
103,17031063301,-87.643024,41.9345408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",1.608775137
104,17031063302,-87.639854,41.9347647,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",4.688681623
105,17031063303,-87.6346613,41.9347312,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",1.609010459
106,17031063400,-87.64673,41.9346596,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",1.760130986
107,17031070101,-87.6323247,41.9295225,1.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",4.478764479
108,17031070102,-87.642202,41.9305829,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,2.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",5.588963566
109,17031070103,-87.6426051,41.926811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,1.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",1.344743276
110,17031070200,-87.646293,41.9290777,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",2.434226703
111,17031070300,-87.6513102,41.9290463,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",3.082003302
112,17031070400,-87.6561563,41.9289672,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,3.0,1.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",1.269438274
113,17031070500,-87.6608922,41.9289455,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",1.684867395
114,17031070600,-87.6656766,41.9287627,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",1.516990291
115,17031070700,-87.6738022,41.9292624,0.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",2.14745884
116,17031071000,-87.6559114,41.9217011,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",4.574881312
117,17031071100,-87.6510614,41.9217778,0.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",3.211549794
118,17031071200,-87.6462106,41.9218547,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",1.840490798
119,17031071300,-87.6414578,41.9217794,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",4.38718663
120,17031071400,-87.6295259,41.9227255,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",0.706436421
121,17031071500,-87.6250924,41.9142425,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",2.990140617
122,17031071600,-87.6411828,41.9164725,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",1.410658307
123,17031071700,-87.6410718,41.9128666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",4.491017964
124,17031071800,-87.645966,41.9145855,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1,"Uninsured rate (% of residents), 2015-2019",2.870264064
125,17031080100,-87.6267897,41.9075537,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",3.67897938
126,17031080201,-87.6310051,41.9094976,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,2,"Uninsured rate (% of residents), 2015-2019",2.753164557
